street
SULTAN REŞAT CD.
ŞEHİT MURAT DEMİR CD.
ALİ PAŞA SK.
AVŞA ÇK. SK.
BESTEKAR ÇK. SK.
BÖĞÜRTLEN SK.
CANFEDA SK.
CUMHUR SK.
ÇAĞLA SK.
ÇIRAK ÇK. SK.
ÇİFTPINAR SK.
ÇİMEN SK.
ÇİMENLİK SK.
DAĞSU ÇK. SK.
DAMLA SK.
DEFNE SK.
DUMANLI VADİ SK.
EFLATUN SK.
EMEL SK.
ENİS SK.
GÜLVEREN SK.
GÜNEŞ SK.
GÜNYÜZÜ SK.
GÜZİDE SK.
HACI PINAR SK.
HİSAR SK.
HUZUR SK.
HÜRMET SK.
İHSAN ÇK. SK.
İNCİ SK.
KARAGÖZ KUYU SK.
KESTANELİK SK.
KİRAZ SK.
KOCAGÖZ KUYU SK.
KÖSEPINAR SK.
MANDIRA SK. SK.
MUKADDES SK.
NUR SK.
PAPELİN SK.
PLATİN ÇK. SK.
SAFRAN ÇK. SK.
SEVİM ÇK. SK.
ŞEHİT MURAT SK.
ŞİFA SK.
ŞİMAL ÇK. SK.
UZUN ÇK. SK.
YADİGAR SK.
YAYLA SK.
YEŞİLAY ÇK. SK.
YEŞİLVADİ SK.
ZEMZEM SK.
ZERDE ÇK. SK.
ZÜLAL SK.
