street
ALEMDAĞ CD.
DOĞANEVLER CD.
ESKİ KADIKÖY YOLU CD.
KAŞGARLI MAHMUT CD.
POYRAZ CD.
TAVUKÇUYOLU CD.
30 AĞUSTOS SK.
AZİM SK.
BEGONYA SK.
BİZİM SK.
ÇAYIRBAŞI SK.
ÇEŞME SK.
DAMPSAN SK.
DİKİLİAĞAÇ SK.
DUA SK.
EDAGÜL SK.
ERDEM SK.
ESENKÖŞE SK.
FATİH SK.
GEZEN SK.
GÜNAŞIK SK.
GÜVENÇ SK.
HACI BAYRAM SK.
HAYIRLI SK.
HAYRAN SK.
HÜRMET SK.
İHRAM SK.
İNANÇ SK.
İSTİKBAL SK.
KADİM SK.
KAFİYE SK.
KANDİL SK.
LİDER SK.
MANİDAR SK.
MEMLEKET SK.
MİLLİ MÜCADELE SK.
NAKKAŞ SK.
NAZENİN SK.
ÖNAL SK.
ÖRNEK SK.
ÖZKANCA SK.
ÖZTÜRK SK.
PINARBAŞI SK.
PINARLI SK.
RESUL SK.
SEDA SK.
TARİH SK.
TEPEÜSTÜ ÖZGÜR SK.
ULUDERE SK.
YALIKENT SK.
YENİLİK SK.
ZİRVE SK.
